select_emotions_screen.other.tooltip,Здесь приведены все остальные эмоции.\nЕсли нужной эмоции нет выбери наиболее подходящую.,"All other emotes are listed here.\nIf the desired emote is not available, choose the most appropriate one."
select_emotions_screen.stress_slider.low,Низкий,Low
select_emotions_screen.stress_slider.high,Высокий,High
note_screen.title,Заметка,Note
note_screen.tooltip,Оставь свою заметку…,Enter your note...
note_screen.description,Заметки помогают вспомнить чем было\nвызвано твое настроение. Все твои заметки\nудобно просматривать в календаре.,Notes help you remember the reasons for your mood. All your notes are conveniently viewed in the calendar.
notifications_screen.title,@:profile_screen.menu.notifications,@:profile_screen.menu.notifications
notifications_screen.popup.title,Выбери время,Set notification time
email_to_support.subject,Хочу сообщить о проблеме!,I want to report a problem!
account_screen.title,@:profile_screen.menu.account,@:profile_screen.menu.account
account_screen.exit_popup.title,Выйти из аккаунта?,Do you want to sign out?
account_screen.exit_popup.action_button_text,Выйти,Sign out
onboarding.title.1,Эмоциональное здоровье,Emotional health
onboarding.title.2,Влияния и события,Influences and events
onboarding.title.3,Анализируй и наблюдай,Analyze and observe
onboarding.text.1,"Отмечай настроение в течение дня, это помогает лучше понимать себя и свои чувства.","Mark your mood throughout the day, you will have a better understanding of yourself and your feelings"
onboarding.text.2,"Добавляй события и следи, как они влияют на настроение в моменте и в перспективе.",Add events and see how they affect the mood in the moment and in the future.
onboarding.text.3,"Убедись, как простое наблюдение за настроением улучшает эмоциональный баланс и помогает лучше справляться со стрессом.",See how simply observing your mood improves your emotional balance and helps you manage stress better.
onboarding.action_button.title,Начать,Start
sign_in_with_socials_screen.title,Трекер твоего настроения,Your mood tracker
sign_in_with_socials_screen.email_button.title,Войти через почту,Login via email
sign_in_with_socials_screen.google_button.title,Войти через Google,Login with Google
register_with_email_screen.title,Регистрация,Registration
register_with_email_screen.error.email_already_in_use,Почта уже занята,Email already in use
register_with_email_screen.error.invalid_email,@:error.invalid_email,@:error.invalid_email
register_with_email_screen.error.too_many_requests,@:error.too_many_requests,@:error.too_many_requests
register_with_email_screen.error.unknown,Не удалось зарегистрироваться,Failed to register
register_with_email_screen.action_button.title,Зарегистрироваться,Register
sign_in_with_email_screen.title,Авторизация через почту,Login via email
sign_in_with_email_screen.error.user_not_found,@:error.user_not_found,@:error.user_not_found
sign_in_with_email_screen.error.invalid_email,@:error.invalid_email,@:error.invalid_email
sign_in_with_email_screen.error.too_many_requests,@:error.too_many_requests,@:error.too_many_requests
sign_in_with_email_screen.error.wrong_password,Неверный пароль,Wrong password
sign_in_with_email_screen.error.unknown,Не удалось авторизоваться,Failed to login
sign_in_with_email_screen.enter_button.title,Войти,Login
sign_in_with_email_screen.register_button.title,Регистрация,Register
sign_in_with_email_screen.forgot_password_button.title,Забыл пароль,Forgot password?
restore_password_screen.title,Восстановление пароля,Password recovery
restore_password_screen.action_button.title,Восстановить,Restore
restore_password_screen.error.user_not_found,@:error.user_not_found,@:error.user_not_found
restore_password_screen.error.invalid_email,@:error.invalid_email,@:error.invalid_email
restore_password_screen.error.too_many_requests,@:error.too_many_requests,@:error.too_many_requests
restore_password_screen.error.unknown,Не удалось восстановить пароль,Failed to recover password
error.user_not_found,Пользователь не найден,User not found
error.invalid_email,Неверный формат почты,Invalid email
error.too_many_requests,Слишком много запросов,Too many requests
events_was_not_used_message.events.title,Добавляй события,Add events
events_was_not_used_message.events.subtitle,Здесь ты увидишь влияние\n событий на настроение,Here you will see the influence\n of events on your mood
events_was_not_used_message.emotions.title,Добавляй эмоции,Add emotions
events_was_not_used_message.emotions.subtitle,Здесь ты увидишь влияние\n эмоций на настроение,Here you will see the influence\n of emotions on your mood
mood,Настроение,Mood
energy,Энергия,Energy
events,События,Events
emotions,Эмоции,Emotions
notes,Заметки,Notes
done,Готово,Done
save,Сохранить,Save
delete,Удалить,Delete
edit,Изменить,Edit
cancel,Отмена,Cancel
next,Далее,Next
create,Создать,Create
today,Сегодня,Today
yesterday,Вчера,Yesterday
period.week,Неделя,Week
period.two_weeks,2 недели,2 weeks
period.month,Месяц,Month
period.all_time,Всё время,All time
mood.1,Ужасное,Terrible
mood.2,Плохое,Bad
mood.3,Не очень,Not very well
mood.4,Нормальное,Normal
mood.5,Хорошее,Good
mood.6,Отличное,Great
mood.7,Восхитительное,Adorable
energy.1,Полностью выжат,Wiped out
energy.2,Очень мало энергии,Energy is very low
energy.3,Мало энергии,Energy is low
energy.4,Энергия в норме,Energy is normal
energy.5,Много энергии,Energy is high
energy.6,Очень много энергии,Energy is very high
energy.7,Гиперактивнсть,Hyperactivity
energy_short.1,Полностью выжат,Wiped out
energy_short.2,Очень мало,Very low
energy_short.3,Мало,Low
energy_short.4,В норме,Normal
energy_short.5,Много,High
energy_short.6,Очень много,Very high
energy_short.7,Гиперактивнсть,Hyperactivity
weekday.1,Пн,Mon
weekday.2,Вт,Tues
weekday.3,Ср,Wed
weekday.4,Чт,Thurs
weekday.5,Пт,Fri
weekday.6,Сб,Sat
weekday.7,Вс,Sun
month.1,Январь,January
month.2,Февраль,February
month.3,Март,March
month.4,Апрель,April
month.5,Май,May
month.6,Июнь,June
month.7,Июль,July
month.8,Август,August
month.9,Сентябрь,September
month.10,Октябрь,October
month.11,Ноябрь,November
month.12,Декабрь,December
month_in_parent_case.1,января,January
month_in_parent_case.2,февраля,February
month_in_parent_case.3,марта,March
month_in_parent_case.4,апреля,April
month_in_parent_case.5,мая,May
month_in_parent_case.6,июня,June
month_in_parent_case.7,июля,July
month_in_parent_case.8,августа,August
month_in_parent_case.9,сентября,September
month_in_parent_case.10,октября,October
month_in_parent_case.11,ноября,November
month_in_parent_case.12,декабря,December
part_of_day.1,Утро,Morning
part_of_day.2,День,Afternoon
part_of_day.3,Вечер,Evening
part_of_day.0,Ночь,Night
part_of_day_in_instrumental_case.1,утром,in the morning
part_of_day_in_instrumental_case.2,днем,in the afternoon
part_of_day_in_instrumental_case.3,вечером,in the evening
part_of_day_in_instrumental_case.0,ночью,at night
emotion.happy-1,Безмятежность,Serenity
emotion.happy-2,Радость,Joy
emotion.happy-3,Восторг,Delight
emotion.scared-1,Тревога,Anxiety
emotion.scared-2,Страх,Fear
emotion.scared-3,Ужас,Horror
emotion.angry-1,Раздражение,Irritation
emotion.angry-2,Злость,Anger
emotion.angry-3,Ярость,Fury
emotion.sad-1,Печаль,Upset
emotion.sad-2,Грусть,Sadness
emotion.sad-3,Горе,Misery
emotion.dislike,Неприязнь,Dislike
emotion.indifferent,Безразличие,Indifference
emotion.sympathy,Симпатия,Sympathy
emotion.uncertainty,Неуверенность,Uncertainty
emotion.certainty,Уверенность,Confidence
emotion.distraction,Рассеяность,Distraction
emotion.concentration,Концентрация,Concentration
emotion.boring,Скука,Boredom
emotion.alone,Одиночество,Loneliness
emotion.excited,Возбуждение,Excitement
emotion.satisfied,Удовлетворение,Satisfaction
emotion.surprised,Удивление,Surprise
event.alcohol,Алкоголь,Alcohol
event.alone,Одиночество,Loneliness
event.angry,Злость,Angry
event.anxiety,Тревога,Anxiety
event.apaty,Апатия,Apathy
event.bad_dream,Плохой сон,Bad dream
event.boring,Скучно,Boring
event.conflict,Конфликт,Conflict
event.cooking,Готовка,Cooking
event.games,Видеоигры,Video games
event.good_dream,Хороший сон,Good dream
event.good_food,Хорошая еда,Good food
event.good_weather,Хорошая погода,Good weather
event.inspiration,Вдохновение,Inspiration
event.joy,Радость,Joy
event.lemon,Выжат как лимон,Wiped out
event.meditation,Медитация,Meditation
event.migraine,Мигрень,Migraine
event.movie,Фильм,Movie
event.music,Музыка,Music
event.rain,Дождь,Rain
event.relax,Отдых,Relax
event.sick,Болезнь,Sickness
event.sport,Спорт,Sport
event.stress,Стресс,Stress
event.sweet,Сладкое,Sweet
event.tour,Прогулка,Promenade
event.woke_up_late,Поздно проснулся,Woke up late
event.work,Работа,Work
language.current,@:language.russian,@:language.english
language.russian,Русский,Русский
language.english,English,English
email_input.error.is_empty,Введите почту,Enter your email
